date;Season;S.bernardi;Cyclarhis-juganensis;Polioptila-plumbea;Mimus-longicaudatus;Pyrocephalus-rubinus;Camptosotoma-obsoletum;Glaucidium-peruanum;Lepidocolaptes-souleyetii;Stittasomus-griseicapillus;Amazilia-amazilia;Columbia-cruziana;Crypturellus-transfasciatus;Cacicus-cela;Icterus-graceannae;Dives-warszewiczi;Crotophaga-sulcirostris;Cyanocorax-mystacalis;Campylorhynchus-fasciatus;Furnarius-cinnamomeus;Geranospiza-caerulescens;Sicalis-flaveola;Micrastur-ruficollis;Momotus-momota;Troglodytes-aedon;Progne-chalybea;Forpus-coelestis;Thryothorus-superciliaris;Parula-pitiayumi;Polioptila-plumbea;Basileuterus-fraseri;Cathartes-aura;Chondrohierax-unciatus;Campephilus-gayaquilensis;Myiopagis-subplacens;Dendrocygna-autummalis;Rhodospingus-cruentus;Trogon-mesurus;Coragyps-atratus;Myiarchus-tuberculifer;Icterus-graceannae;Leptotila-verreauxi;Troglodytes-aedon;Tyrannus-niveigularis;Myiodynastes-maculatus;Veniliornis-callonotus;Picumnus-olivaceus;Claravis-pretiosa;Zenaida-meloda;Colibri-coruscans;Dryocopus-lineatus;Sporophila-corvina;Myiodinastes-maculatus;Myiodinastes-bairdii;Turdus-reevi;Synallaxis-stictothorax;Thraupis-episcopus;Platypsaris-homochrous;Herpetotheres-cachinnans;Campylorhamphus-trochilirostris;Columba-subvinacea;Icterus-mesomelas;Parabuteo-unicintus;Picumnus-sclateri;Thamnophilus-zarumae;Xenops-minutus;Aratinga-erythrogenys
Dec_2010;dry;2;1;2;5;3;2;2;3;2;5;6;4;5;3;3;3;3;3;4;1;4;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;dry;0;0;0;2;1;0;0;0;0;1;2;1;2;0;0;1;2;0;2;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;dry;1;0;0;1;0;1;0;1;0;2;5;2;3;1;1;0;1;0;4;0;2;0;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;2;0;0;0;1;1;1;1;2;4;0;0;4;0;2;0;4;4;1;1;4;0;0;0;5;3;1;2;2;0;0;0;0;0;0;0;3;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;2;3;0;0;0;0;0;1;0;2;0;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;1;0;0;2;0;0;0;0;0;0;6;0;0;0;0;3;2;5;0;0;0;0;2;0;3;0;0;0;0;0;3;0;0;0;3;1;1;3;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;1;0;0;2;0;1;0;0;0;2;0;0;3;0;2;3;4;0;2;0;3;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;1;0;0;1;0;0;2;0;0;3;0;1;3;0;1;4;2;2;4;0;2;0;0;0;3;1;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;2;0;0;2;0;0;0;1;1;2;0;0;5;0;1;4;1;0;4;0;1;0;0;0;5;7;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;1;0;0;3;0;4;0;2;3;1;0;0;0;0;4;1;4;2;3;1;3;0;0;0;0;4;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;2;0;0;3;1;3;1;0;0;0;2;0;5;0;3;1;1;0;1;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;0;0;0;1;2;0;1;0;0;1;0;0;1;0;0;0;0;3;3;0;1;0;0;0;2;3;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;3;0;0;3;2;0;1;0;0;2;0;0;2;0;2;5;2;2;5;1;3;0;0;0;0;8;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;0;0;0;1;1;2;1;2;2;0;0;0;0;0;0;0;3;0;1;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Dec_2010;rainy;0;0;0;1;1;3;0;0;0;2;0;0;0;0;3;6;3;1;0;0;2;0;1;0;0;4;0;0;0;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0
Dec_2010;dry;5;0;0;4;1;2;0;2;1;3;0;0;0;1;0;0;5;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;4;1;5;0
Dec_2010;dry;4;0;0;1;2;2;0;4;0;0;0;0;0;4;1;0;3;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;3;2;0;0
Dec_2010;dry;4;0;0;2;1;3;0;0;1;4;0;0;0;0;1;0;5;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;0
Dec_2010;dry;0;0;0;2;1;0;0;0;0;1;0;1;0;1;0;0;9;9;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Dec_2010;dry;1;0;0;0;1;1;0;0;2;3;0;3;0;0;0;0;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;dry;0;0;0;1;2;0;0;1;0;0;0;0;0;3;2;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;dry;2;0;0;0;1;0;0;2;0;2;0;0;0;1;0;0;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;1
Dec_2010;dry;1;0;0;2;4;1;0;3;0;0;0;0;0;1;0;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
Dec_2010;dry;5;0;0;0;0;0;0;3;0;1;0;0;0;1;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Dec_2010;dry;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;5;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Dec_2010;dry;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec_2010;dry;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
